km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
150 000 km,Porsche,Macan,2016,Diesel,258 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNyZWJjOGlzeHhxaTItQVVUT1ZJVFJPIn0.Tb48-OCNf1oPVbmFJ-0chn2wE25-S9IIUq0UpyYt1MQ/image;s=320x240,34 600,dbe05ea1-d2f2-4259-a419-5a6a8a05332c
109 700 km,Dacia,Duster,2018,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 6,Manuala,SUV,5,Portocaliu,4,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhsNTF6M3AyMHV1dzEtQVVUT1ZJVFJPIn0.3WJ0xrFNXGdWVZ_epFO-tPA4TCbgIOHoxHG92RTpiP8/image;s=320x240,14 990,55b2bb4f-5ab8-4cb2-b465-a82b6ac75062
235 000 km,Audi,A6,2015,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Automata,Sedan,4,Gri,5,Metalizata,Da,,,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRienF1c3RmcG1jZy1BVVRPVklUUk8ifQ.7tpEv9nXx9UJE_DoxDcOWc0evxmhhK5Hcmn3OIZNuuE/image;s=320x240,21 499,89bf0f36-b8d8-49ae-b6fd-8d3cbbe001dc
174 277 km,Mercedes-Benz,E,2011,Diesel,170 CP,2 143 cm3,Fata,,Automata,Sedan,4,Negru,5,,Da,,,Second hand,129 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVyZW84eWZyMG5nOTItQVVUT1ZJVFJPIn0.Ou8imLdld509v0ktmmr7GWIYysXVPdUAvREkXI3ZnjY/image;s=320x240,12 450,41906f46-da77-453d-aa85-b3900e3ea435
8 700 km,BMW,X5 M,2022,Benzina,625 CP,4 395 cm3,,,Automata,SUV,5,Albastru,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlwdXN4eDNkem5nNS1BVVRPVklUUk8ifQ.cdYSiRrINGY6XQ0lbaHh6QnXKy_Ix-7pUezSOGGFMco/image;s=644x461,109 999,409e7a82-d7a1-41f5-937a-afeca9952aa9
142 000 km,Land Rover,Range Rover Evoque,2017,Diesel,180 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB1cmc0bDdjdTh5OTItQVVUT1ZJVFJPIn0.Q1FTXYikt8SGtmSV-zGe4xKU4_LMoCTUR7_d2aRP_vY/image;s=644x461,22 490,b4b1349f-f8b1-45be-b1be-09fe321b84af
133 000 km,Nissan,Qashqai,2015,Benzina,115 CP,1 197 cm3,4x4 (manual),,Manuala,SUV,5,Maro,,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFmNjdqcTJ0anUyby1BVVRPVklUUk8ifQ.uTUOoSxta4u5WMXjWaQZrdi0GyKgTrld3zub2BApk00/image;s=644x461,11 950,189c865d-13da-4f3c-b62c-984da5d35541
147 500 km,BMW,X5,2017,Hibrid,245 CP,1 997 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE2eWxkaHYwMndnajEtQVVUT1ZJVFJPIn0.pHxhDXEltAWG0lgoH3i4TzcrAm9fEg0T-EwDD6qTimI/image;s=644x461,34 986,7dc1ee5e-ac52-4a86-9f24-c95af7f6171d
87 900 km,BMW,Seria 3,2020,Diesel,150 CP,1 995 cm3,,Euro 6,Automata,Sedan,4,Negru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVld2dmdWsyc20ycjItQVVUT1ZJVFJPIn0.ygvDY8UJNxkFefwjS2TCdWIvOlP7jZfFSlTUZijIVf8/image;s=644x461,25 990,73e8e2e9-627d-4145-8990-b9c4ce612bb0
130 000 km,Ford,Focus,2020,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Automata,Combi,5,Albastru,5,,Da,Romania,Da,Second hand,106 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw0OHozdng2cWltNDEtQVVUT1ZJVFJPIn0.wBVM2aLZsBIkLhEb-KhQaF3_RO6a-zw9bBVTHfFjSO4/image;s=320x240,12 489,2ec832fd-b785-4a17-b473-7903d19925f2
236 583 km,Nissan,Patrol,1999,Diesel,129 CP,2 826 cm3,4x4 (manual),Euro 3,Manuala,SUV,5,Verde,,,,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNjbzU2eG53YXIzNTMtQVVUT1ZJVFJPIn0.CUAfomG9n6y0LyYAiJczmALRfoGalcgy4WqWNflu3co/image;s=320x240,11 700,a5ce1672-61be-4d87-8f82-c41b1fee1645
188 236 km,Mercedes-Benz,GLC,2016,Hibrid,211 CP,1 991 cm3,,,Automata,SUV,5,Negru,,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ1dWxneXppbnJoNjMtQVVUT1ZJVFJPIn0.nkAnEV5DvWDgnv9F5wPniJbHgNZQcJJcdl2APHj-MkA/image;s=320x240,28 999,6018fb23-85aa-47f1-889e-df09e8f34fb0
179 600 km,Audi,A5,2018,Diesel,190 CP,1 968 cm3,,Euro 6,Automata,Sedan,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVwaDYzcWl2MTd3NzEtQVVUT1ZJVFJPIn0.y4RXgGEGoqCj7l5ffiqUSqMzbeuP5h3suEibOerkm9s/image;s=644x461,23 990,e30ded2a-2d3c-4318-929d-d91e82aa7a9e
157 000 km,BMW,Seria 3,2018,Diesel,190 CP,1 995 cm3,,Euro 6,Automata,Sedan,5,Alb,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndlN2doazUwb2o0Ny1BVVRPVklUUk8ifQ.a9-GH2ohCI-SMaX5D7ZKK9CcWX8YiM1VOFddAlNaPEY/image;s=644x461,22 970,137068b5-08fd-4cee-9b63-e279aeba9539
179 600 km,BMW,X3,2015,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImI4ZTAzNWZwazRjNTEtQVVUT1ZJVFJPIn0.CITvJKIJvjNhmEwh8tgP6K5IwzlYGJs_rNCJt1PEhJE/image;s=644x461,20 970,aa200680-0491-480f-92a7-18c983cf2f0e
108 095 km,DS Automobiles,DS 7 Crossback,2019,Diesel,180 CP,1 996 cm3,,Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Franta,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims4MWhnMHJybWQwbTMtQVVUT1ZJVFJPIn0.0kto9wza2towilimMVJUIrJk3Dl0DFgN7-nRj3w5hK4/image;s=644x461,28 548,a0683724-53bd-401b-8b09-5d2626ea8feb
198 999 km,Renault,Megane,2014,Diesel,110 CP,1 461 cm3,Fata,Euro 5,Manuala,Combi,5,Argint,5,Metalizata,,Olanda,,Second hand,114 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZya242cWU4czAyczMtQVVUT1ZJVFJPIn0.SaZCuzwMqeUw5UaLqiWaE6NbyIX8ODtP2cCUMRUk55A/image;s=320x240,6 999,86837d5b-8527-42e7-9331-486c89bac49c
288 000 km,Ford,Focus,2011,Diesel,115 CP,1 560 cm3,,,Manuala,Combi,5,Alb,5,,,Italia,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNscHMwdzBqZ2o0MTMtQVVUT1ZJVFJPIn0._YgqJkD9lLDVHbWOJ4pj9YvfrMvZsVowilJi1ykQN6M/image;s=320x240,3 950,6953c63c-5ac2-4363-b6ad-22e44876640f
33 500 km,Mercedes-Benz,E,2022,Diesel,194 CP,1 950 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Gri,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijc2Yzlwb2U2aW5xbzItQVVUT1ZJVFJPIn0.jL-nym86sFYoxKRUapPxA4zJYIAGKPdeEvW165trGAw/image;s=644x461,56 989,e64ba6e0-9c75-4279-bac3-0244874d5cda
94 000 km,Land Rover,Discovery Sport,2021,Diesel,163 CP,1 999 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Rosu,5,Metalizata,,Germania,Da,Second hand,140 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ1bjdxYmc4Z21kdi1BVVRPVklUUk8ifQ.oQx5OuQOKcOPbrJT9Tcdzh4eIv6gHy-Zs6Bo1mhrl-w/image;s=320x240,29 498,312ee787-8719-49ca-abfb-5d9d297f16dd
126 736 km,Audi,A8,2021,Hibrid,340 CP,2 995 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Negru,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink3OHh0cWZoc3YwMTEtQVVUT1ZJVFJPIn0.brQ2HFQeJlXwfIpePoUdjnNTqinwZran9ptFQgWbdCY/image;s=644x461,57 108,589d630e-22dc-4680-a80f-d5d399d08343
8 090 km,Mercedes-Benz,GLE,2022,Diesel,330 CP,2 925 cm3,,Euro 6,Automata,SUV,5,Argint,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImR1aGs0YmZyN2lobjMtQVVUT1ZJVFJPIn0.nDh2gNkVP7l_LZz9aL4v9cMU_yJ4wd2m5Cg6bpWyiYM/image;s=644x461,109 500,dc6fbdcf-d992-49b5-8bf1-c2d9563d8a8a
41 830 km,Mercedes-Benz,A,2019,Diesel,116 CP,1 461 cm3,Fata,,Automata,Compacta,5,Rosu,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV1NHdjamV1ZmQ2dTEtQVVUT1ZJVFJPIn0.qADeADs6a8uTz-ycrHpeGmUnVQVgEWTD2rKDbhb5A3I/image;s=320x240,23 249,3306f26f-18fd-46bb-a938-512dc7f49e4d
75 000 km,BMW,Seria 5,2020,Diesel,286 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Combi,5,Gri,5,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inlpb2Z2a3ZlYWJ6MjMtQVVUT1ZJVFJPIn0.kWGh-DhYsR0QJ9D6p8b5NW0FILdk3voIn2vOgIp56DQ/image;s=644x461,44 016,740482e5-25ee-4075-b31d-b82d27a15467
229 000 km,Volvo,V60,2015,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Combi,5,Negru,5,Metalizata,,Olanda,Da,Second hand,108 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZzamszNnN1c3J4bzMtQVVUT1ZJVFJPIn0.Q5bW8VFt_jci2--0ZvZspF_qfxRmnA_oajcZP772g7Y/image;s=320x240,8 399,175c673f-a0d0-4d65-a3e2-38da6ab99aff
198 000 km,Volkswagen,Golf,2007,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Automata,Combi,5,Gri,2,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjU4c3F5YnloczRzYTEtQVVUT1ZJVFJPIn0.j55zrKoHz0Gi3YMdGc4FYxKpRrHFVbeSjOwZOZOdw1M/image;s=320x240,4 990,f67970c1-c3ff-4a2b-b487-e662cb15e855
110 000 km,BMW,Seria 5,2017,Diesel,190 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,4,Maro,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx1dHprd2cydmNhYi1BVVRPVklUUk8ifQ.maIoRgqzSfL-ICWHuPl6igluKu7i_oIxCAOEE2RkEP4/image;s=320x240,24 990,62ac18cc-56f5-4faa-a368-74a03ce76956
172 000 km,Renault,Trafic,2019,Diesel,125 CP,1 598 cm3,Fata,Euro 6,Manuala,Monovolum,4,Alb,3,Metalizata,Da,Danemarca,Da,Second hand,145 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InA0MW9rbTVnbXd3OTEtQVVUT1ZJVFJPIn0.b2DkyVQVHxS3XiQ7nqXGMpTLlKYVJQSiL9J9NjbYjzQ/image;s=320x240,14 200,270ecd16-d170-43cb-a7a1-59b5e075b554
65 828 km,Volkswagen,Passat,2019,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Gri,5,Metalizata,,Romania,Da,Second hand,120 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFuaDd2ZzF1dTBpcDEtQVVUT1ZJVFJPIn0.6waiznVSkrtHqGV1EtK20z1irdi32C-WVkMr-BacyvI/image;s=644x461,22 189,a885651b-8803-4144-9691-14619d50ebda
21 850 km,Mercedes-Benz,GLE Coupe,2022,Diesel,330 CP,2 925 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxzbHAwZWV3Z3I3azEtQVVUT1ZJVFJPIn0.kmu0bhaHfoPs7A7AB55wKu4U_VtNT2bpF_vu3ZH2m9M/image;s=644x461,94 979,301b05f2-4ac2-4e74-82d0-c5e5e0d6ef17
39 900 km,Mercedes-Benz,GLC Coupe,2020,Diesel,194 CP,1 950 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM0cGVwaDlhNnJoby1BVVRPVklUUk8ifQ.GIY5ARqoxykiCnb_y646ALThDkGqRq2gXLssUR56Rq4/image;s=644x461,52 850,6fc37b50-b62f-46b6-bfa1-0c6fd607309b
61 300 km,Mercedes-Benz,GLC Coupe,2021,Diesel,245 CP,1 950 cm3,,Euro 6,Automata,SUV,5,Rosu,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFqczl6d25uZ2VmZS1BVVRPVklUUk8ifQ.EGW4PQHbJZYfQXdO3HmfXrFkaItiIkJJ2g_-TyvslPg/image;s=644x461,52 250,14deb05b-721f-4745-89f9-ae8bcf498bf6
94 000 km,BMW,X3,2018,Diesel,190 CP,1 995 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjM3d3p4eWdtaHQ1OTMtQVVUT1ZJVFJPIn0.YeOEeIt8dU249y_0WQyzZOZ3K0FICHpZatIzQNyN3Vs/image;s=644x461,31 800,f397a720-c54d-4b5c-b36f-cab69053dba3
99 000 km,BMW,X3,2019,Diesel,150 CP,1 995 cm3,,Euro 6,Automata,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw1OXlhMmZnOTY2YjEtQVVUT1ZJVFJPIn0.YPDHmIVJNDFJgS4_Q04OfSgOZ6NrQnWPG2VRsVaFjCs/image;s=644x461,32 400,376bea66-c1d1-4195-a704-2e55fe59a23e
195 000 km,Hyundai,Tucson,2018,Diesel,141 CP,1 685 cm3,Fata,Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,,Da,Second hand,133 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZydnR5d2VpMjl1bjMtQVVUT1ZJVFJPIn0.phgQObUweIurX-JWn-PXcBhD6tmcadGMWN1_9KvN-pE/image;s=320x240,17 990,c0a9029e-f1c5-45d6-b260-c553b6142c32
7 900 km,Porsche,Cayenne Coupe,2023,Hibrid,340 CP,2 995 cm3,,Euro 6,Automata,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims3b3hkanY3YzNzazItQVVUT1ZJVFJPIn0.xy11uSDKGvVDYuUqZ8QwyZ21fsxGl4jhOJU0j9D-dXg/image;s=644x461,165 800,7a5b9d96-92f7-40d1-a22c-dce9d087ba83
138 000 km,Fiat,500X,2017,Benzina,170 CP,1 368 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Franta,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyajdla3pjaHVlYjMtQVVUT1ZJVFJPIn0.jDhOUZcA_iH4i_yafNWCg8LgkdKXSCMAaoEO4uFvP2Q/image;s=320x240,13 500,bdebe2d5-6de0-4f69-b083-a530894a6a46
29 000 km,Audi,A8,2018,Hibrid,286 CP,2 967 cm3,4x4 (automat),Euro 6d-Temp,Automata,Sedan,4,Alte culori,5,Perlat,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM2dWk2eTJlMGluYTMtQVVUT1ZJVFJPIn0.Jdp-H28ptPfs9jCA-4rXi9I0j5VMcYr6hsIrHs5Ostc/image;s=320x240,67 980,7ac047f7-095e-477f-a434-f8d9c63ded00
165 000 km,Skoda,Octavia,2018,Benzina,150 CP,1 495 cm3,Fata,Euro 6,Automata,Sedan,5,Gri,5,Metalizata,,Olanda,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp4NHhldnJtNjlwNTEtQVVUT1ZJVFJPIn0.1WuUldtuulwr3gPGZItwuur-gYKWKGCrUJeCeynroow/image;s=320x240,15 990,53beee81-6f94-4a51-9199-ebcbe0bce5a8
199 000 km,Renault,Koleos,2017,Diesel,175 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Franta,Da,Second hand,153 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkxYXMzbXAwMXloci1BVVRPVklUUk8ifQ.1Jjq7nc1MbWFE_qOjxYALVcwo1hBE14QqJNXs_1W59E/image;s=320x240,17 500,2820ed8b-12b9-4baa-8f4a-b89839de0f27
15 000 km,Ford,Focus,2021,Diesel,120 CP,1 499 cm3,Fata,Euro 6b,Manuala,Compacta,5,Albastru,5,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjluaW81YzAxZjcwbDMtQVVUT1ZJVFJPIn0.nnmbEeeoOouEgv5OoXcD0slz5tpt3xnajNdb75UB1Q4/image;s=320x240,15 800,78304fce-34ba-433d-bf46-b80ccd9f360a
55 450 km,Mercedes-Benz,CLA,2018,Diesel,170 CP,2 143 cm3,Fata,Euro 6,Automata,Coupe,4,Rosu,5,,Da,,,Second hand,139 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJ3NWlqbHNybHZrbzEtQVVUT1ZJVFJPIn0.kjnmq55V0m0T9EiRGKHIPO2Ndowa3ryZurA-G4FB3LE/image;s=320x240,25 585,79be4642-669c-42c3-9559-8609979c3bbc
70 318 km,Dacia,Duster,2019,Diesel,115 CP,1 461 cm3,4x4 (automat),Euro 6,Manuala,SUV,5,Portocaliu,5,Metalizata,,Romania,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZha2xxZW8zaW1wYTItQVVUT1ZJVFJPIn0.tN3JrbrBfU4NXa37J4iLOJ_rpZkvRM6cO0owHsy3xe0/image;s=644x461,15 990,fe90a7d3-152d-4f38-bdad-9df6058e78f3
22 500 km,BMW,Seria 7,2021,Diesel,286 CP,2 993 cm3,,Euro 6,Automata,Sedan,4,Albastru,,Metalizata,,,,Second hand,136 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNtNW1neTI2MG5wdy1BVVRPVklUUk8ifQ.zlQoRj0njRuLvtUp71QTHT9WRam5QovmaP6tfv5OahM/image;s=644x461,77 998,92aaa140-ffcf-45ff-bbfd-45d84e4532a2
230 000 km,Audi,A4 Allroad,2014,Diesel,177 CP,1 968 cm3,4x4 (automat),Euro 5,Automata,Combi,5,Maro,,Metalizata,,Belgia,Da,Second hand,156 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZjOGt1dDQyenhpMjMtQVVUT1ZJVFJPIn0.rccvSlC1Jq6C3ZSHh2bSCm8_PtWimS1OHa1cO6FhK78/image;s=320x240,13 400,903d7ef6-d085-49ac-a1e2-8a6908682350
274 000 km,BMW,Seria 5,2011,Diesel,184 CP,1 995 cm3,Spate,,Automata,Sedan,5,Gri,5,Metalizata,Da,,,Second hand,144 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im52a20xOXg2OWI3ODEtQVVUT1ZJVFJPIn0.sls1EqydlJok-3feJh5CfJ_JRRXJMYYHOiZIa2xEA3M/image;s=320x240,12 490,7402bc6c-e651-497b-9c2e-eb0c06a7e334
240 000 km,BMW,X6,2012,Diesel,245 CP,2 993 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Negru,5,Metalizata,,Germania,,Second hand,195 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRrcTBxOHFieTFwYy1BVVRPVklUUk8ifQ.91IxtQomQ30kBvVBIyMEqVbIXfpQ10_8xSJ1ds87JuQ/image;s=320x240,16 993,9c9a8d4e-d1a7-43df-a442-c175e92e16b5
199 000 km,BMW,Seria 5,2014,Diesel,143 CP,1 995 cm3,Spate,Euro 6,Automata,Sedan,4,Gri,5,Metalizata,Da,,,Second hand,124 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9taGdpY2FkcG4zeS1BVVRPVklUUk8ifQ.eFAyKzRFpHRFVVRDM-2NsTpjjCzjBIt8KdE3HSZhKfY/image;s=320x240,16 200,fc9ee240-b8d1-4682-a7c6-840286a5f41f
180 000 km,Volkswagen,Tiguan,2010,Benzina,150 CP,1 390 cm3,Fata,Euro 5,Manuala,SUV,5,Negru,,,,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM2NTkwMzN2cmhhMzMtQVVUT1ZJVFJPIn0.MvRoTtfy9F1drhzr7Oz3va0zc5g70RefFzhuQgz-ulc/image;s=320x240,6 790,fafac2e7-9e59-422e-a2ed-42b409cfd535
121 500 km,BMW,Seria 3,2011,Benzina,306 CP,2 979 cm3,4x4 (automat),Euro 5,Automata,Coupe,5,Alb,4,Metalizata,Da,Statele Unite ale Americii,,Second hand,184 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imo3bTJwdmsyYzg4ei1BVVRPVklUUk8ifQ.d03iPDjMxCFKGrzHQhllFyRnsIQHI5RN7lMv2IsELoI/image;s=320x240,20 000,59d34e3f-52da-42c7-93ab-1039173dec77
192 114 km,BMW,X4,2016,Diesel,190 CP,1 995 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Argint,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV3ZDF5Mzd1ODc3cDMtQVVUT1ZJVFJPIn0.p_riyLPWPq0hYMj_hQt7fAadXk1o6_X0XzJFmvq-MkA/image;s=644x461,23 450,32880717-cec2-4016-8ea0-211f0b73c248
25 000 km,BMW,Seria 2,2022,Diesel,150 CP,1 995 cm3,,Euro 6,Automata,Compacta,4,Gri,5,,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImY0dGV0dDUxc2NjNDItQVVUT1ZJVFJPIn0.NSiZtCr1dGq-cKNMGRFTlkHWuTfOtdtCxyRVfmWfM94/image;s=644x461,31 900,e0fb05a3-2569-48b3-9b13-cc657f4cece3
281 730 km,Volkswagen,Golf,2009,Diesel,110 CP,1 968 cm3,Fata,,Manuala,Compacta,5,Albastru,5,Metalizata,Da,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx3aWg5Yzd4eXY3YS1BVVRPVklUUk8ifQ.Sg_Rl9VzZhWLCtN-U0zXstf0t71NNDgEozrLE7ULlTg/image;s=320x240,5 120,00fd80c5-ffe1-4dae-a724-f393193b0979
189 000 km,Opel,Astra,2014,Diesel,136 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,5,Gri,5,Metalizata,,Germania,Da,Second hand,104 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtzdDh2bThsbThrcDEtQVVUT1ZJVFJPIn0.3yu3pK6eqFyqcMbJV2UkNSvgTVsMhpCKhzjuHgLRuo4/image;s=320x240,6 790,dfcd5e94-4159-44de-bece-c23bf18cf39c
190 000 km,Land Rover,Range Rover,2014,Diesel,339 CP,4 367 cm3,4x4 (automat),,Automata,SUV,5,Negru,,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImExa3VhZGRkbDV4aTEtQVVUT1ZJVFJPIn0.zi4LCkQ_hRUS9lcIfDRhGcTa-EB2qPAFQs8eliiu1So/image;s=644x461,27 500,12fa6a1a-8799-456a-aed4-2c0de8340595
1 km,Cadillac,XT4,2023,Benzina,230 CP,1 998 cm3,4x4 (automat),,Automata,SUV,5,Negru,5,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFlbHZsdml2dDRnajItQVVUT1ZJVFJPIn0.ADyQpJwydQJ5hFcV_wY2dE5U25uOhB3DdHNV1n0pcIY/image;s=644x461,55 989,c635b8a9-f093-4aee-84a5-f073386c19db
195 000 km,Volvo,XC 60,2020,Diesel,197 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Germania,,Second hand,144 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpoNHQ0ZHM1dGM0ZzItQVVUT1ZJVFJPIn0.sZvYuzS1D9FTeL0pRQ4bMiF0iMtl0yKnbvKLr45NB_M/image;s=320x240,29 900,1f586ce2-3824-429d-b4e8-e372cd8807fb
180 km,Dacia,Logan,2023,Benzina,90 CP,999 cm3,Fata,,Automata,Sedan,4,Alb,,,,Romania,Da,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt4MTJveDRiMzU3aTItQVVUT1ZJVFJPIn0.Cj1xVOF_S90QRZvQwbuX0tP_glU5ieptHBdyKi5uFEQ/image;s=320x240,15 700,c707b39b-4c3d-4512-bf9e-e688507a3ff6
276 000 km,Mercedes-Benz,ML,2011,Diesel,204 CP,2 987 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Argint,5,Metalizata,Da,,,Second hand,224 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ0aG45NGdsYzl4djMtQVVUT1ZJVFJPIn0.d4DfVojdRjf56TfdkB94h6vyekzKviSvtJclRJEoFbs/image;s=320x240,11 499,b3c68302-ecea-4504-95e5-2f180e77643c
106 910 km,Audi,A8,2020,Diesel,286 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Negru,4,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijl0MzBndnB4bTZxaDMtQVVUT1ZJVFJPIn0.6FqY5-Fu3-3fluXXskfFdznR0JA8YJOFhs-zH_DeIk8/image;s=644x461,61 999,5b120a12-db94-4732-abf5-c387a6d2a521
